cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
present80,cpu,cpu_baseline,29,536870912,56.2793,9.5394e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,29,536870912,0.815139,6.58625e+08,0xa55a12343fffffff
present80,gpu,gpu1_optimized,29,536870912,16.7697,3.20143e+07,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,29,536870912,24.9234,2.15409e+07,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,29,536870912,0.379688,1.41398e+09,0xa55a12343fffffff
present80,cpu,cpu_baseline,30,1073741824,112.19,9.57075e+06,0xa55a12343fffffff
present80,gpu,gpu0_baseline,30,1073741824,1.64037,6.54572e+08,0xa55a12343fffffff
present80,gpu,gpu1_optimized,30,1073741824,53.9253,1.99117e+07,0xa55a12343fffffff
present80,gpu,gpu2_optimized+ilp,30,1073741824,36.0705,2.97679e+07,0xa55a12343fffffff
present80,gpu,gpu3_optimized+shared,30,1073741824,0.361696,2.96863e+09,0xa55a12343fffffff
