cipher,platform,variant,unknown_bits,keys_tested,seconds,keys_per_sec,found_key
salsa20,gpu,gpu0_baseline,23,8388608,0.000687315,1.22049e+10,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,23,8388608,0.000597091,1.40491e+10,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,23,8388608,0.000594634,1.41072e+10,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,24,16777216,1.71363,9.79043e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,24,16777216,0.00136684,1.22745e+10,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,24,16777216,0.00125757,1.33409e+10,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,24,16777216,0.00123382,1.35978e+10,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,25,33554432,3.42713,9.79083e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,25,33554432,0.00277811,1.20782e+10,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,25,33554432,0.00249414,1.34533e+10,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,25,33554432,0.00240966,1.39249e+10,0xa55a12343fffffff
salsa20,cpu,cpu_baseline,26,67108864,6.84949,9.79765e+06,0xa55a12343fffffff
salsa20,gpu,gpu0_baseline,26,67108864,0.00570583,1.17615e+10,0xa55a12343fffffff
salsa20,gpu,gpu1_optimized,26,67108864,0.00489829,1.37005e+10,0xa55a12343fffffff
salsa20,gpu,gpu2_optimized+ilp,26,67108864,0.00477029,1.40681e+10,0xa55a12343fffffff
